,,,,,,,,,,,
,,,,,,,,,,,
Customers Table,,,,,,,,,,,Managed by : Ajith Sinha
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Customer ID,Policy Holder Name,Gender,Age at Entry,Current Age,Occupation,Smoker Status,Medical Exam Required,Nationality,State,,
CUST-731411,Ishaan Shanker,Male,59,83,"Engineer, building services",No,Yes,India,Delhi,,
CUST-841937,Manjari Grover,Male,38,62,Medical physicist,No,Yes,India,Delhi,,
CUST-686611,Arnav Rattan,Male,47,65,Advertising art director,No,Yes,India,Delhi,,
CUST-859728,Kartik Ravi,Male,33,49,Counsellor,No,Yes,India,Delhi,,
CUST-236448,Alia Din,Male,30,34,Energy manager,No,Yes,India,Delhi,,
CUST-336621,Myra Grover,Male,25,39,"Therapist, sports",No,Yes,India,Delhi,,
CUST-361732,Jivika Yogi,Male,41,54,"Solicitor, Scotland",No,Yes,India,Delhi,,
CUST-588187,Oorja D?Alia,Male,25,45,Geographical information systems officer,No,Yes,India,Delhi,,
CUST-595782,Farhan Tailor,Male,44,51,Dietitian,No,Yes,India,Delhi,,
CUST-713118,Anahi Bhattacharyya,Male,27,30,Financial adviser,No,Yes,India,Delhi,,
CUST-770848,Aayush Comar,Male,22,47,Charity officer,No,Yes,India,Delhi,,
CUST-474398,Samar Dugar,Male,47,69,Diagnostic radiographer,No,Yes,India,Delhi,,
CUST-781127,Damini Gokhale,Male,27,42,Health service manager,No,Yes,India,Delhi,,
CUST-435484,Saksham Bir,Male,45,64,"Engineer, broadcasting (operations)",No,Yes,India,Delhi,,
CUST-848590,Ira Sarraf,Male,49,74,Chief Financial Officer,No,Yes,India,Delhi,,
CUST-337661,Priyansh Mall,Male,30,39,English as a foreign language teacher,No,Yes,India,Delhi,,
CUST-592843,Ivana Dhar,Male,57,59,Barista,No,Yes,India,Delhi,,
CUST-563374,Keya Kala,Male,25,28,Legal secretary,No,Yes,India,Delhi,,
CUST-410597,Jivin Devan,Male,55,59,Museum/gallery exhibitions officer,No,Yes,India,Delhi,,
CUST-119541,Alia Chand,Male,28,40,Trading standards officer,No,Yes,India,Delhi,,
CUST-555101,Pari Dutt,Male,46,63,"Psychologist, occupational",No,Yes,India,Delhi,,
CUST-938212,Baiju Barad,Male,47,53,"Surveyor, building",No,Yes,India,Delhi,,
CUST-562558,Himmat Ramachandran,Male,21,36,"Production designer, theatre/television/film",No,Yes,India,Delhi,,
CUST-402011,Keya Maharaj,Male,42,67,Arboriculturist,No,Yes,India,Delhi,,
CUST-740578,Darshit Mahal,Male,58,65,Sales promotion account executive,No,Yes,India,Delhi,,
CUST-822061,Jayesh Ramesh,Male,46,68,"Scientist, marine",No,Yes,India,Delhi,,
CUST-122495,Amani Jhaveri,Male,56,62,"Engineer, drilling",No,Yes,India,Delhi,,
CUST-520181,Alisha Shah,Male,33,54,Intelligence analyst,No,Yes,India,Delhi,,
CUST-890476,Amira Arya,Male,47,63,Statistician,No,Yes,India,Delhi,,
CUST-235648,Zain Kaul,Male,48,57,"Therapist, horticultural",No,Yes,India,Delhi,,
CUST-485135,Farhan Tandon,Male,53,61,"Civil engineer, contracting",No,Yes,India,Delhi,,
CUST-989042,Samaira Deep,Male,42,56,Architectural technologist,No,Yes,India,Delhi,,
CUST-150331,Arnav Ganesh,Male,30,48,Archivist,No,Yes,India,Delhi,,
CUST-279037,Piya Virk,Male,30,54,Meteorologist,No,Yes,India,Delhi,,
CUST-539197,Rati Kale,Male,31,41,Metallurgist,No,Yes,India,Delhi,,
CUST-593972,Vritika Hans,Male,50,65,Media buyer,No,Yes,India,Delhi,,
CUST-960259,Akarsh Srinivasan,Male,48,60,"Engineer, manufacturing",No,Yes,India,Delhi,,
CUST-826039,Himmat Yadav,Male,48,66,"Education officer, museum",No,Yes,India,Delhi,,
CUST-618856,Aarush Amble,Male,38,55,Manufacturing engineer,No,Yes,India,Delhi,,
CUST-875552,Aniruddh Sura,Male,60,73,Futures trader,No,Yes,India,Delhi,,
CUST-807218,Eshani Venkatesh,Male,29,49,Research scientist (medical),No,Yes,India,Delhi,,
CUST-641375,Keya Sastry,Male,24,40,Broadcast engineer,No,Yes,India,Delhi,,
CUST-972208,Aarush Venkatesh,Male,58,68,Financial manager,No,Yes,India,Delhi,,
CUST-988749,Farhan Sastry,Male,22,45,Cabin crew,No,Yes,India,Delhi,,
CUST-978959,Anaya Manne,Male,48,73,Ceramics designer,No,Yes,India,Delhi,,
CUST-248771,Navya Bir,Male,28,48,"Engineer, technical sales",No,Yes,India,Delhi,,
CUST-851136,Saira Soman,Male,21,46,Mechanical engineer,No,Yes,India,Delhi,,
CUST-313018,Yasmin Bir,Male,55,56,Sports coach,No,Yes,India,Delhi,,
CUST-963835,Shamik Bajwa,Male,22,32,Commissioning editor,No,Yes,India,Delhi,,
CUST-241270,Rati Dasgupta,Male,54,69,Recruitment consultant,No,Yes,India,Delhi,,
CUST-699834,Parinaaz Sem,Male,46,48,Insurance account manager,No,Yes,India,Delhi,,
CUST-310997,Nayantara Sood,Male,47,69,"Education officer, museum",No,Yes,India,Delhi,,
CUST-594244,Veer Chowdhury,Male,25,28,"Journalist, magazine",No,Yes,India,Delhi,,
CUST-245145,Mamooty Mani,Male,51,62,Tourism officer,No,Yes,India,Delhi,,
CUST-594516,Ojas Deol,Male,31,52,Prison officer,No,Yes,India,Delhi,,
CUST-363548,Eshani Bora,Male,51,68,"Chemist, analytical",No,Yes,India,Delhi,,
CUST-772004,Badal Borah,Male,20,38,Web designer,No,Yes,India,Delhi,,
CUST-979545,Renee Sood,Male,38,42,Trade union research officer,No,Yes,India,Delhi,,
CUST-474799,Kiaan Magar,Male,28,42,"Surveyor, building",No,Yes,India,Delhi,,
CUST-232031,Fateh Borra,Male,54,56,"Designer, industrial/product",No,Yes,India,Delhi,,
CUST-907690,Zaina Anne,Male,55,67,Ranger/warden,Yes,Yes,India,Delhi,,
CUST-115972,Anahi Sagar,Male,40,63,"Therapist, horticultural",Yes,Yes,India,Delhi,,
CUST-424463,Tiya Basu,Male,31,37,"Designer, ceramics/pottery",Yes,Yes,India,Delhi,,
CUST-192788,Divij Dara,Male,35,54,"Pharmacist, hospital",Yes,Yes,India,Delhi,,
CUST-898844,Nayantara Venkatesh,Male,53,74,"Programmer, systems",Yes,Yes,India,Delhi,,
CUST-324308,Zaina Badal,Male,44,64,"Engineer, energy",Yes,Yes,India,Delhi,,
CUST-441301,Bhavin Varughese,Male,24,39,Race relations officer,Yes,Yes,India,Delhi,,
CUST-792550,Bhavin Shere,Male,46,62,"Engineer, water",Yes,Yes,India,Delhi,,
CUST-339951,Dharmajan Maharaj,Male,20,31,Arts administrator,Yes,Yes,India,Delhi,,
CUST-416715,Samaira Gera,Male,22,28,Chief Marketing Officer,Yes,Yes,India,Delhi,,
CUST-295493,Anaya Srivastava,Male,42,48,Art therapist,Yes,Yes,India,Delhi,,
CUST-940398,Inaaya  Chander,Male,41,59,Hydrogeologist,Yes,Yes,India,Delhi,,
CUST-154959,Seher Kota,Male,22,37,"Scientist, forensic",Yes,Yes,India,Delhi,,
CUST-546306,Diya Dugar,Male,30,54,Risk analyst,Yes,Yes,India,Delhi,,
CUST-288084,Ivan Chaudhary,Male,22,40,Actor,Yes,Yes,India,Delhi,,
CUST-602128,Samar Choudhry,Male,43,59,"Scientist, product/process development",Yes,Yes,India,Delhi,,
CUST-671441,Oorja D?Alia,Male,21,26,Personnel officer,Yes,Yes,India,Delhi,,
CUST-756311,Jhanvi Baral,Male,45,69,Fast food restaurant manager,Yes,Yes,India,Delhi,,
CUST-754757,Zara Chakrabarti,Male,37,60,Theatre director,Yes,Yes,India,Delhi,,
CUST-409489,Saksham Rattan,Male,48,67,Multimedia specialist,Yes,Yes,India,Delhi,,
CUST-962331,Romil Sagar,Male,44,59,Adult guidance worker,Yes,Yes,India,Delhi,,
CUST-953396,Shray Verma,Male,60,68,Sports therapist,Yes,Yes,India,Delhi,,
CUST-188285,Anaya Walla,Male,46,49,Museum education officer,Yes,Yes,India,Delhi,,
CUST-561878,Divij Kuruvilla,Male,24,49,Bookseller,Yes,Yes,India,Delhi,,
CUST-242583,Taimur Vasa,Male,35,38,Hospital pharmacist,Yes,Yes,India,Delhi,,
CUST-201112,Lagan Vig,Male,22,41,"Solicitor, Scotland",Yes,Yes,India,Delhi,,
CUST-208660,Akarsh Kari,Male,34,55,"Programmer, applications",Yes,Yes,India,Delhi,,
CUST-248372,Anahi Doctor,Male,25,40,Mudlogger,Yes,Yes,India,Delhi,,
CUST-890873,Kabir Sachdeva,Male,47,63,Phytotherapist,Yes,Yes,India,Delhi,,
CUST-763311,Anika Jhaveri,Male,55,57,"Engineer, site",Yes,Yes,India,Delhi,,
CUST-404551,Zain Kala,Male,49,55,Warehouse manager,Yes,Yes,India,Delhi,,
CUST-556626,Jayan Kohli,Male,27,51,Microbiologist,Yes,Yes,India,Delhi,,
CUST-377918,Neelofar Sankar,Male,38,50,Art gallery manager,Yes,Yes,India,Delhi,,
CUST-582376,Adira Chahal,Male,24,26,"Surveyor, hydrographic",Yes,Yes,India,Delhi,,
CUST-130687,Dharmajan Rout,Male,47,57,Warehouse manager,Yes,Yes,India,Delhi,,
CUST-955394,Ayesha Korpal,Male,56,81,"Designer, graphic",Yes,Yes,India,Delhi,,
CUST-191796,Nirvi Sahota,Male,39,41,Dentist,Yes,Yes,India,Delhi,,
CUST-569228,Siya Kanda,Male,36,40,Commercial art gallery manager,Yes,Yes,India,Delhi,,
CUST-730738,Akarsh Agate,Male,38,53,Fitness centre manager,Yes,Yes,India,Delhi,,
CUST-964800,Rania Kade,Male,54,74,Scientific laboratory technician,Yes,Yes,India,Delhi,,
CUST-266413,Suhana Chandran,Male,18,23,Furniture designer,Yes,Yes,India,Delhi,,
CUST-949518,Neysa Kurian,Male,47,55,"Accountant, chartered",Yes,Yes,India,Delhi,,
CUST-896961,Gokul Dora,Male,49,51,Interpreter,Yes,Yes,India,Delhi,,
CUST-703511,Kavya Issac,Male,50,61,Building surveyor,Yes,Yes,India,Delhi,,
CUST-319683,Umang Sura,Male,33,47,"Designer, textile",Yes,Yes,India,Delhi,,
CUST-880162,Tara Wable,Male,55,71,Data scientist,Yes,Yes,India,Delhi,,
CUST-885295,Shanaya Som,Male,33,35,Structural engineer,Yes,Yes,India,Delhi,,
CUST-541101,Kiaan Varty,Male,56,65,Agricultural consultant,Yes,Yes,India,Delhi,,
CUST-328439,Aarav Dey,Male,28,45,Fisheries officer,Yes,Yes,India,Delhi,,
CUST-852758,Stuvan Grover,Male,43,66,"Librarian, academic",Yes,Yes,India,Delhi,,
CUST-956232,Heer Gaba,Male,33,50,Glass blower/designer,Yes,Yes,India,Delhi,,
CUST-480364,Dishani Grewal,Male,20,22,Furniture conservator/restorer,Yes,Yes,India,Delhi,,
CUST-714857,Shayak Dutt,Male,33,53,Recruitment consultant,Yes,Yes,India,Delhi,,
CUST-693954,Kismat Rao,Male,56,58,Police officer,Yes,Yes,India,Delhi,,
CUST-548004,Aaina Bose,Male,56,67,Haematologist,Yes,Yes,India,Delhi,,
CUST-278762,Rati Zacharia,Male,45,48,Materials engineer,Yes,Yes,India,Delhi,,
CUST-743853,Ela Sangha,Male,57,68,General practice doctor,Yes,Yes,India,Delhi,,
CUST-951254,Riaan Dhawan,Male,47,54,"Development worker, community",Yes,Yes,India,Delhi,,
CUST-719191,Ivana Garde,Male,19,26,"Scientist, marine",Yes,Yes,India,Delhi,,
CUST-262336,Indrans Kannan,Male,29,53,Archaeologist,Yes,Yes,India,Delhi,,
CUST-484053,Aniruddh Raju,Male,60,81,Lexicographer,Yes,Yes,India,Delhi,,
CUST-169784,Anika Ramanathan,Male,56,71,Theatre manager,Yes,Yes,India,Delhi,,
CUST-662926,Baiju Bumb,Male,27,29,Training and development officer,Yes,Yes,India,Delhi,,
CUST-171195,Ayesha Gulati,Male,47,68,Broadcast journalist,Yes,Yes,India,Delhi,,
CUST-812598,Indrajit Bhardwaj,Male,27,38,"Psychotherapist, child",Yes,Yes,India,Delhi,,
CUST-187613,Neelofar Subramanian,Male,45,64,Logistics and distribution manager,Yes,Yes,India,Delhi,,
CUST-859865,Ritvik Kumar,Male,18,38,"Chemist, analytical",Yes,Yes,India,Delhi,,
CUST-400688,Oorja Ramakrishnan,Male,41,62,"Geologist, engineering",Yes,Yes,India,Delhi,,
CUST-446749,Bhamini Chahal,Male,40,41,Geoscientist,Yes,Yes,India,Delhi,,
CUST-603259,Shayak Varughese,Male,26,37,Science writer,Yes,Yes,India,Delhi,,
CUST-671395,Oorja Sule,Male,49,66,"Lighting technician, broadcasting/film/video",Yes,Yes,India,Delhi,,
CUST-942763,Bhavin Anand,Male,52,71,Automotive engineer,Yes,Yes,India,Delhi,,
CUST-761996,Trisha Jain,Male,22,36,Insurance risk surveyor,Yes,Yes,India,Delhi,,
CUST-364545,Misha Kapadia,Male,26,43,"Radiographer, therapeutic",Yes,Yes,India,Delhi,,
CUST-974883,Nehmat Khurana,Male,48,67,Claims inspector/assessor,Yes,Yes,India,Delhi,,
CUST-745152,Hiran Sinha,Male,29,42,Health visitor,Yes,Yes,India,Delhi,,
CUST-853326,Krish Issac,Male,32,55,Tree surgeon,Yes,Yes,India,Delhi,,
CUST-177708,Gatik Dasgupta,Male,45,59,Forensic psychologist,Yes,Yes,India,Delhi,,
CUST-539601,Ishaan Kala,Male,20,36,Film/video editor,Yes,Yes,India,Delhi,,
CUST-501330,Tarini Sahni,Male,21,39,Careers adviser,Yes,Yes,India,Delhi,,
CUST-673870,Anvi Choudhry,Male,55,64,"Teacher, English as a foreign language",Yes,Yes,India,Delhi,,
CUST-606998,Tejas Handa,Male,49,62,Fitness centre manager,Yes,Yes,India,Delhi,,
CUST-977851,Lagan Ratta,Male,22,45,Structural engineer,Yes,Yes,India,Delhi,,
CUST-831924,Saira Kalla,Male,50,66,"Engineer, agricultural",Yes,Yes,India,Delhi,,
CUST-291436,Shray Dhawan,Male,23,32,Local government officer,Yes,Yes,India,Delhi,,
CUST-822988,Ishita Wali,Male,34,54,Arts development officer,Yes,Yes,India,Delhi,,
CUST-232203,Onkar Behl,Male,19,40,Information systems manager,Yes,Yes,India,Delhi,,
CUST-326284,Nitya Ramesh,Male,59,62,Radio producer,Yes,Yes,India,Delhi,,
CUST-229988,Mohanlal Ghosh,Male,55,78,Archivist,Yes,Yes,India,Delhi,,
CUST-947679,Mahika Shan,Male,35,45,Health service manager,Yes,Yes,India,Delhi,,
CUST-455973,Miraan Rana,Male,41,57,"Programme researcher, broadcasting/film/video",Yes,Yes,India,Delhi,,
CUST-179704,Nayantara Bala,Male,54,79,Forest/woodland manager,Yes,Yes,India,Delhi,,
CUST-355331,Myra Kari,Male,34,35,Firefighter,Yes,Yes,India,Delhi,,
CUST-403898,Nakul Saini,Male,19,28,Community education officer,Yes,Yes,India,Delhi,,
CUST-441357,Nehmat Hora,Male,22,30,Ship broker,Yes,Yes,India,Delhi,,
CUST-893162,Yuvraj  Tank,Male,23,34,Clinical embryologist,Yes,Yes,India,Delhi,,
CUST-154158,Tarini Sama,Male,20,41,Radio producer,Yes,Yes,India,Delhi,,
CUST-453556,Rati Tank,Male,52,58,Civil Service administrator,Yes,Yes,India,Delhi,,
CUST-554158,Eshani Rattan,Male,44,50,Chief Technology Officer,Yes,Yes,India,Delhi,,
CUST-914500,Samar Kurian,Male,49,66,Exercise physiologist,Yes,Yes,India,Delhi,,
CUST-952491,Mamooty Tiwari,Male,25,49,Dancer,Yes,Yes,India,Delhi,,
CUST-338070,Darshit Basu,Male,44,62,Merchant navy officer,Yes,Yes,India,Delhi,,
CUST-888090,Raunak Kamdar,Male,36,57,Tour manager,Yes,Yes,India,Delhi,,
CUST-421242,Kaira Venkataraman,Male,21,41,"Engineer, maintenance",Yes,Yes,India,Delhi,,
CUST-122434,Chirag Dhar,Male,38,53,Pharmacologist,Yes,Yes,India,Delhi,,
CUST-145851,Ira Sekhon,Male,27,47,Optometrist,Yes,Yes,India,Delhi,,
CUST-531934,Ayesha Chopra,Male,28,34,Midwife,Yes,Yes,India,Delhi,,
CUST-102860,Himmat Khatri,Male,20,40,Senior tax professional/tax inspector,Yes,Yes,India,Delhi,,
CUST-932848,Nirvaan Bhakta,Male,31,45,Broadcast engineer,Yes,Yes,India,Delhi,,
CUST-765469,Adira Iyengar,Male,33,46,Chiropractor,Yes,Yes,India,Delhi,,
CUST-397332,Badal Karnik,Male,56,81,"Research officer, government",Yes,Yes,India,Delhi,,
CUST-428452,Purab Kumer,Male,28,40,"Nurse, adult",Yes,Yes,India,Delhi,,
CUST-312069,Piya Sarin,Male,29,49,"Teacher, primary school",Yes,Yes,India,Delhi,,
CUST-222683,Riya Bala,Male,40,60,Textile designer,Yes,Yes,India,Delhi,,
CUST-419904,Divij Bains,Male,43,50,Recruitment consultant,Yes,Yes,India,Delhi,,
CUST-582040,Kiaan Tak,Male,59,76,Bonds trader,Yes,Yes,India,Delhi,,
CUST-600546,Anvi Dave,Male,35,49,"Horticulturist, commercial",Yes,Yes,India,Delhi,,
CUST-189349,Emir Rout,Male,36,59,Chemical engineer,No,No,India,Delhi,,
CUST-417504,Piya Goel,Male,48,56,Architectural technologist,No,No,India,Delhi,,
CUST-577032,Onkar Sarma,Male,32,53,"Designer, graphic",No,No,India,Delhi,,
CUST-909422,Bhavin Gara,Male,31,39,"Research officer, trade union",No,No,India,Delhi,,
CUST-859937,Pari Rastogi,Male,47,69,"Nurse, children's",No,No,India,Delhi,,
CUST-730383,Nirvaan Madan,Male,57,66,Academic librarian,No,No,India,Delhi,,
CUST-360696,Miraya Raj,Male,49,50,Merchant navy officer,No,No,India,Delhi,,
CUST-437390,Trisha Kanda,Male,31,37,"Embryologist, clinical",No,No,India,Delhi,,
CUST-193574,Purab Singhal,Male,47,69,"Designer, fashion/clothing",No,No,India,Delhi,,
CUST-879860,Manjari Dass,Male,53,68,Multimedia programmer,No,No,India,Delhi,,
CUST-941828,Jiya Varma,Male,41,66,Occupational hygienist,No,No,India,Delhi,,
CUST-307402,Aarav Choudhary,Male,19,42,"Lecturer, further education",No,No,India,Delhi,,
CUST-614619,Suhana Chandra,Male,23,37,Air traffic controller,No,No,India,Delhi,,
CUST-112939,Kimaya Mahal,Male,34,56,"Investment banker, operational",No,No,India,Delhi,,
CUST-812035,Yuvraj  Madan,Male,30,55,"Designer, industrial/product",No,No,India,Delhi,,
CUST-109946,Siya Sengupta,Male,34,54,Public relations officer,No,No,India,Delhi,,
CUST-489226,Yakshit Kant,Male,47,53,Architect,No,No,India,Delhi,,
CUST-467735,Jayesh Bobal,Male,20,39,"Designer, ceramics/pottery",No,No,India,Delhi,,
CUST-818925,Trisha Talwar,Male,25,32,"Pharmacist, community",No,No,India,Delhi,,
CUST-269436,Jayesh Arya,Male,52,65,Network engineer,No,No,India,Delhi,,
CUST-820133,Anahita Shere,Male,51,58,Regulatory affairs officer,No,No,India,Delhi,,
CUST-570853,Yuvraj  Khurana,Male,21,43,Herbalist,No,No,India,Delhi,,
CUST-578084,Nitya Rajagopal,Male,32,45,Health promotion specialist,No,No,India,Delhi,,
CUST-747386,Drishya Varughese,Male,49,73,Television floor manager,No,No,India,Delhi,,
CUST-638281,Zaina Sahni,Male,47,62,Civil Service fast streamer,No,No,India,Delhi,,
CUST-806507,Arnav Dara,Male,45,70,"Scientist, research (life sciences)",No,No,India,Delhi,,
CUST-989972,Emir Raja,Male,23,43,Microbiologist,No,No,India,Delhi,,
CUST-764629,Kismat Halder,Male,25,47,"Buyer, industrial",No,No,India,Delhi,,
CUST-697069,Jivika Sama,Male,18,36,Pension scheme manager,No,No,India,Delhi,,
CUST-389974,Fateh Varghese,Male,42,48,Estate manager/land agent,No,No,India,Delhi,,
CUST-950344,Nishith Walia,Male,54,63,"Surveyor, mining",No,No,India,Delhi,,
CUST-390463,Urvi Tank,Male,36,53,Academic librarian,No,No,India,Delhi,,
CUST-459016,Krish Thaman,Male,39,54,"Pharmacist, hospital",No,No,India,Delhi,,
CUST-755153,Aradhya Rana,Male,25,49,Television production assistant,No,No,India,Delhi,,
CUST-829085,Darshit Bhakta,Male,49,69,"Psychologist, counselling",No,No,India,Delhi,,
CUST-684591,Zaina Gulati,Male,36,39,Photographer,No,No,India,Delhi,,
CUST-446593,Vivaan Raju,Male,42,67,Special effects artist,No,No,India,Delhi,,
CUST-786580,Ishaan Agrawal,Male,41,60,"Therapist, drama",No,No,India,Delhi,,
CUST-303485,Nitya Malhotra,Male,18,32,Administrator,No,No,India,Delhi,,
CUST-606337,Vivaan Kalita,Male,45,60,Newspaper journalist,No,No,India,Delhi,,
CUST-784103,Aaina Borra,Male,21,42,Electrical engineer,No,No,India,Delhi,,
CUST-963438,Aayush Ramesh,Male,55,69,"Designer, ceramics/pottery",No,No,India,Delhi,,
CUST-927186,Khushi Chacko,Male,28,29,Geophysical data processor,No,No,India,Delhi,,
CUST-538122,Ivan Buch,Male,33,57,Contracting civil engineer,No,No,India,Delhi,,
CUST-764683,Mishti Shenoy,Male,60,81,Fast food restaurant manager,No,No,India,Delhi,,
CUST-490748,Shayak Viswanathan,Male,57,61,Systems analyst,No,No,India,Delhi,,
CUST-801189,Kabir Srinivasan,Male,40,50,Investment analyst,No,No,India,Delhi,,
CUST-531994,Vivaan Mann,Male,60,84,Fisheries officer,No,No,India,Delhi,,
CUST-249482,Zoya Kohli,Male,45,70,"Biochemist, clinical",No,No,India,Delhi,,
CUST-694061,Mishti Khare,Male,28,35,Office manager,No,No,India,Delhi,,
CUST-134865,Navya Chakrabarti,Male,20,34,Educational psychologist,No,No,India,Delhi,,
CUST-352797,Farhan Khatri,Male,60,85,"Surveyor, building control",No,No,India,Delhi,,
